
============================================================
  HEAT Training — Dataset: WIKI
  Device: cpu
============================================================

  [data] WIKI: 12,554 entities, 24 relations
  [data] Loading quadruples...
  [data] Train: 539,286  Valid: 67,538  Test: 63,110
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 12,554  |  Relations: 24  |  Train: 539,286
  Batch 270/527 | Loss 3.6193 | 6010s elapsed
  Batch 280/527 | Loss 3.6196 | 6232s elapsed
  Batch 290/527 | Loss 3.6192 | 6452s elapsed
  Batch 300/527 | Loss 3.6193 | 6673s elapsed
  Batch 310/527 | Loss 3.6186 | 6894s elapsed
  Batch 320/527 | Loss 3.6183 | 7115s elapsed
  Batch 330/527 | Loss 3.6189 | 7337s elapsed
  Batch 340/527 | Loss 3.6197 | 7559s elapsed
  Batch 350/527 | Loss 3.6190 | 7781s elapsed
  Batch 360/527 | Loss 3.6187 | 8004s elapsed
  Batch 370/527 | Loss 3.6189 | 8225s elapsed
  Batch 380/527 | Loss 3.6187 | 8448s elapsed
  Batch 390/527 | Loss 3.6177 | 8670s elapsed
  Batch 400/527 | Loss 3.6167 | 8891s elapsed
  Batch 410/527 | Loss 3.6164 | 9114s elapsed
  Batch 420/527 | Loss 3.6155 | 9336s elapsed
  Batch 430/527 | Loss 3.6149 | 9557s elapsed
  Batch 440/527 | Loss 3.6154 | 9778s elapsed
  Batch 450/527 | Loss 3.6160 | 9999s elapsed
  Batch 460/527 | Loss 3.6165 | 10218s elapsed
  Batch 470/527 | Loss 3.6160 | 10440s elapsed
  Batch 480/527 | Loss 3.6158 | 10663s elapsed
  Batch 490/527 | Loss 3.6153 | 10885s elapsed
  Batch 500/527 | Loss 3.6153 | 11106s elapsed
  Batch 510/527 | Loss 3.6156 | 11328s elapsed
  Batch 520/527 | Loss 3.6156 | 11551s elapsed
Epoch 004/5 | Loss 3.6155 | Time 11699.0s
  ↳ Valid  MRR: 0.4718 | H@1: 0.4190 | H@3: 0.5095 | H@10: 0.5640
  Batch 10/527 | Loss 3.5542 | 222s elapsed
  Batch 20/527 | Loss 3.5520 | 444s elapsed
  Batch 30/527 | Loss 3.5620 | 667s elapsed
  Batch 40/527 | Loss 3.5682 | 891s elapsed
  Batch 50/527 | Loss 3.5705 | 1113s elapsed
  Batch 60/527 | Loss 3.5698 | 1335s elapsed
  Batch 70/527 | Loss 3.5708 | 1557s elapsed
  Batch 80/527 | Loss 3.5737 | 1779s elapsed
  Batch 90/527 | Loss 3.5731 | 2001s elapsed
  Batch 100/527 | Loss 3.5663 | 2223s elapsed
  Batch 110/527 | Loss 3.5666 | 2445s elapsed
  Batch 120/527 | Loss 3.5647 | 2666s elapsed
  Batch 130/527 | Loss 3.5690 | 2888s elapsed
  Batch 140/527 | Loss 3.5673 | 3111s elapsed
  Batch 150/527 | Loss 3.5648 | 3332s elapsed
  Batch 160/527 | Loss 3.5618 | 3553s elapsed
  Batch 170/527 | Loss 3.5622 | 3775s elapsed
  Batch 180/527 | Loss 3.5608 | 3997s elapsed
  Batch 190/527 | Loss 3.5596 | 4218s elapsed
