
============================================================
  HEAT Training — Dataset: GDELT
  Device: cpu
============================================================

  [data] GDELT: 7,691 entities, 240 relations
  [data] Loading quadruples...
  [data] Train: 1,734,399  Valid: 238,765  Test: 305,241
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 7,691  |  Relations: 240  |  Train: 1,734,399
  Batch 1490/1694 | Loss 11.4080 | 50938s elapsed
  Batch 1500/1694 | Loss 11.4052 | 51146s elapsed
  Batch 1510/1694 | Loss 11.4023 | 51345s elapsed
  Batch 1520/1694 | Loss 11.3995 | 51544s elapsed
  Batch 1530/1694 | Loss 11.3967 | 51750s elapsed
  Batch 1540/1694 | Loss 11.3938 | 51961s elapsed
  Batch 1550/1694 | Loss 11.3911 | 52171s elapsed
  Batch 1560/1694 | Loss 11.3883 | 52396s elapsed
  Batch 1570/1694 | Loss 11.3852 | 52619s elapsed
  Batch 1580/1694 | Loss 11.3823 | 52841s elapsed
  Batch 1590/1694 | Loss 11.3795 | 53060s elapsed
  Batch 1600/1694 | Loss 11.3767 | 53290s elapsed
  Batch 1610/1694 | Loss 11.3741 | 53518s elapsed
  Batch 1620/1694 | Loss 11.3714 | 53748s elapsed
  Batch 1630/1694 | Loss 11.3688 | 53980s elapsed
  Batch 1640/1694 | Loss 11.3662 | 54201s elapsed
  Batch 1650/1694 | Loss 11.3635 | 54425s elapsed
  Batch 1660/1694 | Loss 11.3608 | 54642s elapsed
  Batch 1670/1694 | Loss 11.3585 | 54876s elapsed
  Batch 1680/1694 | Loss 11.3560 | 55106s elapsed
  Batch 1690/1694 | Loss 11.3535 | 55337s elapsed
Epoch 001/5 | Loss 11.3524 | Time 55424.2s
  ↳ Valid  MRR: 0.1734 | H@1: 0.1120 | H@3: 0.1780 | H@10: 0.2900
  ✓ Best model saved (MRR=0.1734)
  Batch 10/1694 | Loss 10.9527 | 242s elapsed
  Batch 20/1694 | Loss 10.8730 | 480s elapsed
  Batch 30/1694 | Loss 10.8735 | 708s elapsed
  Batch 40/1694 | Loss 10.8691 | 943s elapsed
  Batch 50/1694 | Loss 10.8756 | 1167s elapsed
  Batch 60/1694 | Loss 10.8621 | 1368s elapsed
  Batch 70/1694 | Loss 10.8589 | 1588s elapsed
  Batch 80/1694 | Loss 10.8610 | 1794s elapsed
  Batch 90/1694 | Loss 10.8567 | 2001s elapsed
  Batch 100/1694 | Loss 10.8575 | 2197s elapsed
  Batch 110/1694 | Loss 10.8528 | 2390s elapsed
  Batch 120/1694 | Loss 10.8487 | 2592s elapsed
  Batch 130/1694 | Loss 10.8441 | 2792s elapsed
  Batch 140/1694 | Loss 10.8438 | 2997s elapsed
  Batch 150/1694 | Loss 10.8429 | 3202s elapsed
  Batch 160/1694 | Loss 10.8386 | 3401s elapsed
  Batch 170/1694 | Loss 10.8375 | 3609s elapsed
  Batch 180/1694 | Loss 10.8385 | 3816s elapsed
  Batch 190/1694 | Loss 10.8400 | 4020s elapsed
  Batch 200/1694 | Loss 10.8393 | 4222s elapsed
  Batch 210/1694 | Loss 10.8397 | 4423s elapsed
  Batch 220/1694 | Loss 10.8415 | 4632s elapsed
  Batch 230/1694 | Loss 10.8388 | 4865s elapsed
  Batch 240/1694 | Loss 10.8374 | 5085s elapsed
  Batch 250/1694 | Loss 10.8349 | 6270s elapsed
  Batch 260/1694 | Loss 10.8319 | 6493s elapsed
  Batch 270/1694 | Loss 10.8294 | 6719s elapsed
  Batch 280/1694 | Loss 10.8268 | 6938s elapsed
  Batch 290/1694 | Loss 10.8253 | 7146s elapsed
  Batch 300/1694 | Loss 10.8227 | 7350s elapsed
  Batch 310/1694 | Loss 10.8210 | 7561s elapsed
  Batch 320/1694 | Loss 10.8204 | 7767s elapsed
  Batch 330/1694 | Loss 10.8201 | 7972s elapsed
  Batch 340/1694 | Loss 10.8185 | 8170s elapsed
  Batch 350/1694 | Loss 10.8173 | 8369s elapsed
  Batch 360/1694 | Loss 10.8160 | 8571s elapsed
  Batch 370/1694 | Loss 10.8153 | 8768s elapsed
  Batch 380/1694 | Loss 10.8147 | 8968s elapsed
  Batch 390/1694 | Loss 10.8145 | 9172s elapsed
  Batch 400/1694 | Loss 10.8121 | 9369s elapsed
  Batch 410/1694 | Loss 10.8117 | 9569s elapsed
  Batch 420/1694 | Loss 10.8107 | 9771s elapsed
  Batch 430/1694 | Loss 10.8101 | 9967s elapsed
  Batch 440/1694 | Loss 10.8094 | 10166s elapsed
  Batch 450/1694 | Loss 10.8091 | 10363s elapsed
  Batch 460/1694 | Loss 10.8091 | 10566s elapsed
  Batch 470/1694 | Loss 10.8078 | 10772s elapsed
  Batch 480/1694 | Loss 10.8070 | 10971s elapsed
  Batch 490/1694 | Loss 10.8059 | 11172s elapsed
  Batch 500/1694 | Loss 10.8041 | 11374s elapsed
  Batch 510/1694 | Loss 10.8039 | 11596s elapsed
  Batch 520/1694 | Loss 10.8033 | 11815s elapsed
  Batch 530/1694 | Loss 10.8025 | 12029s elapsed
  Batch 540/1694 | Loss 10.8021 | 12244s elapsed
  Batch 550/1694 | Loss 10.8023 | 12458s elapsed
  Batch 560/1694 | Loss 10.8013 | 12671s elapsed
  Batch 570/1694 | Loss 10.8007 | 12886s elapsed
  Batch 580/1694 | Loss 10.7993 | 13098s elapsed
  Batch 590/1694 | Loss 10.7975 | 13309s elapsed
  Batch 600/1694 | Loss 10.7960 | 13519s elapsed
  Batch 610/1694 | Loss 10.7952 | 13723s elapsed
  Batch 620/1694 | Loss 10.7952 | 13930s elapsed
  Batch 630/1694 | Loss 10.7946 | 14129s elapsed
  Batch 640/1694 | Loss 10.7935 | 14330s elapsed
  Batch 650/1694 | Loss 10.7912 | 14539s elapsed
  Batch 660/1694 | Loss 10.7909 | 14733s elapsed
  Batch 670/1694 | Loss 10.7901 | 14935s elapsed
  Batch 680/1694 | Loss 10.7890 | 15137s elapsed
  Batch 690/1694 | Loss 10.7884 | 15338s elapsed
  Batch 700/1694 | Loss 10.7878 | 15540s elapsed
  Batch 710/1694 | Loss 10.7869 | 15741s elapsed
  Batch 720/1694 | Loss 10.7862 | 15945s elapsed
