
============================================================
  HEAT Training — Dataset: ICEWS18
  Device: cpu
============================================================

  [data] ICEWS18: 23,033 entities, 256 relations
  [data] Loading quadruples...
  [data] Train: 373,018  Valid: 45,995  Test: 49,545
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 23,033  |  Relations: 256  |  Train: 373,018
  Batch 130/365 | Loss 9.5791 | 4219s elapsed
  Batch 140/365 | Loss 9.5740 | 4547s elapsed
  Batch 150/365 | Loss 9.5680 | 4875s elapsed
  Batch 160/365 | Loss 9.5630 | 5201s elapsed
  Batch 170/365 | Loss 9.5563 | 5530s elapsed
  Batch 180/365 | Loss 9.5512 | 5858s elapsed
  Batch 190/365 | Loss 9.5441 | 6188s elapsed
  Batch 200/365 | Loss 9.5388 | 6522s elapsed
  Batch 210/365 | Loss 9.5347 | 6858s elapsed
  Batch 220/365 | Loss 9.5344 | 7194s elapsed
  Batch 230/365 | Loss 9.5317 | 7527s elapsed
  Batch 240/365 | Loss 9.5277 | 7864s elapsed
  Batch 250/365 | Loss 9.5212 | 8202s elapsed
  Batch 260/365 | Loss 9.5171 | 8539s elapsed
  Batch 270/365 | Loss 9.5119 | 9273s elapsed
  Batch 280/365 | Loss 9.5083 | 9616s elapsed
  Batch 290/365 | Loss 9.5059 | 9955s elapsed
  Batch 300/365 | Loss 9.5043 | 10295s elapsed
  Batch 310/365 | Loss 9.5008 | 10634s elapsed
  Batch 320/365 | Loss 9.4951 | 10977s elapsed
  Batch 330/365 | Loss 9.4933 | 11319s elapsed
  Batch 340/365 | Loss 9.4906 | 11657s elapsed
  Batch 350/365 | Loss 9.4875 | 11994s elapsed
  Batch 360/365 | Loss 9.4849 | 12318s elapsed
Epoch 003/5 | Loss 9.4840 | Time 12455.1s
  ↳ Valid  MRR: 0.2392 | H@1: 0.1610 | H@3: 0.2630 | H@10: 0.3970
  ✓ Best model saved (MRR=0.2392)
  Batch 10/365 | Loss 9.1289 | 333s elapsed
  Batch 20/365 | Loss 9.0835 | 670s elapsed
  Batch 30/365 | Loss 9.1054 | 1002s elapsed
  Batch 40/365 | Loss 9.0856 | 1339s elapsed
  Batch 50/365 | Loss 9.0776 | 1682s elapsed
  Batch 60/365 | Loss 9.0870 | 2034s elapsed
  Batch 70/365 | Loss 9.0839 | 2388s elapsed
  Batch 80/365 | Loss 9.0876 | 2739s elapsed
  Batch 90/365 | Loss 9.0874 | 3095s elapsed
  Batch 100/365 | Loss 9.0842 | 3449s elapsed
  Batch 110/365 | Loss 9.0848 | 3802s elapsed
  Batch 120/365 | Loss 9.0874 | 4149s elapsed
  Batch 130/365 | Loss 9.0842 | 4495s elapsed
  Batch 140/365 | Loss 9.0798 | 4844s elapsed
  Batch 150/365 | Loss 9.0747 | 5305s elapsed
  Batch 160/365 | Loss 9.0762 | 6160s elapsed
  Batch 170/365 | Loss 9.0765 | 6500s elapsed
  Batch 180/365 | Loss 9.0721 | 6852s elapsed
  Batch 190/365 | Loss 9.0716 | 7217s elapsed
  Batch 200/365 | Loss 9.0649 | 7582s elapsed
  Batch 210/365 | Loss 9.0635 | 7944s elapsed
  Batch 220/365 | Loss 9.0603 | 8310s elapsed
  Batch 230/365 | Loss 9.0609 | 8671s elapsed
  Batch 240/365 | Loss 9.0558 | 9027s elapsed
  Batch 250/365 | Loss 9.0569 | 9381s elapsed
  Batch 260/365 | Loss 9.0508 | 9735s elapsed
  Batch 270/365 | Loss 9.0492 | 10084s elapsed
  Batch 280/365 | Loss 9.0473 | 10432s elapsed
  Batch 290/365 | Loss 9.0478 | 10773s elapsed
  Batch 300/365 | Loss 9.0461 | 11136s elapsed
  Batch 310/365 | Loss 9.0437 | 11499s elapsed
  Batch 320/365 | Loss 9.0431 | 11854s elapsed
  Batch 330/365 | Loss 9.0418 | 12210s elapsed
  Batch 340/365 | Loss 9.0403 | 12569s elapsed
  Batch 350/365 | Loss 9.0382 | 12931s elapsed
  Batch 360/365 | Loss 9.0373 | 13281s elapsed
Epoch 004/5 | Loss 9.0372 | Time 13434.9s
  ↳ Valid  MRR: 0.2070 | H@1: 0.1295 | H@3: 0.2235 | H@10: 0.3650
  Batch 10/365 | Loss 8.8286 | 356s elapsed
  Batch 20/365 | Loss 8.8127 | 715s elapsed
  Batch 30/365 | Loss 8.7969 | 1068s elapsed
  Batch 40/365 | Loss 8.8076 | 1424s elapsed
  Batch 50/365 | Loss 8.8226 | 1786s elapsed
  Batch 60/365 | Loss 8.8075 | 2150s elapsed
  Batch 70/365 | Loss 8.8045 | 2506s elapsed
  Batch 80/365 | Loss 8.8037 | 2859s elapsed
  Batch 90/365 | Loss 8.8036 | 3214s elapsed
  Batch 100/365 | Loss 8.8043 | 3571s elapsed
  Batch 110/365 | Loss 8.8080 | 3928s elapsed
  Batch 120/365 | Loss 8.8035 | 4280s elapsed
  Batch 130/365 | Loss 8.8051 | 4630s elapsed
  Batch 140/365 | Loss 8.8086 | 4983s elapsed
  Batch 150/365 | Loss 8.8074 | 5342s elapsed
  Batch 160/365 | Loss 8.8083 | 5700s elapsed
  Batch 170/365 | Loss 8.8057 | 6058s elapsed
  Batch 180/365 | Loss 8.8047 | 6414s elapsed
  Batch 190/365 | Loss 8.8009 | 6772s elapsed
  Batch 200/365 | Loss 8.8009 | 7135s elapsed
  Batch 210/365 | Loss 8.8022 | 7489s elapsed
  Batch 220/365 | Loss 8.8014 | 7845s elapsed
  Batch 230/365 | Loss 8.7998 | 8203s elapsed
  Batch 240/365 | Loss 8.7996 | 8552s elapsed
  Batch 250/365 | Loss 8.8024 | 8913s elapsed
  Batch 260/365 | Loss 8.8020 | 9272s elapsed
  Batch 270/365 | Loss 8.8011 | 9629s elapsed
  Batch 280/365 | Loss 8.8008 | 9984s elapsed
  Batch 290/365 | Loss 8.8017 | 10343s elapsed
  Batch 300/365 | Loss 8.8003 | 10699s elapsed
  Batch 310/365 | Loss 8.7993 | 11065s elapsed
  Batch 320/365 | Loss 8.7999 | 11424s elapsed
  Batch 330/365 | Loss 8.8006 | 11780s elapsed
  Batch 340/365 | Loss 8.8024 | 12138s elapsed
  Batch 350/365 | Loss 8.8008 | 12492s elapsed
  Batch 360/365 | Loss 8.8008 | 12848s elapsed
Epoch 005/5 | Loss 8.8010 | Time 13001.4s
  ↳ Valid  MRR: 0.2103 | H@1: 0.1350 | H@3: 0.2270 | H@10: 0.3615

Training done. Best valid MRR: 0.2392
Results saved to results/ICEWS18/
